,spread,theta,mu,sigma,signal,a,b
2010-07-02,-0.5413652378492984,0.2354241187139387,-0.16015683413818635,0.20262079064911992,,0.4304160828685164,-0.7507297511448892
2010-07-05,-0.27218870821486263,0.28998420292270416,-0.16508367351020614,0.20614527157832294,,0.3762950771033782,-0.7064624241237905
2010-07-06,-0.11086343517924035,0.3115675717446307,-0.1656895213955493,0.20741162616326697,,0.35980957010783066,-0.6911886128989292
2010-07-07,-0.1132988769545662,0.29788463933574566,-0.1569112872470509,0.20529240521258396,,0.37503015477082463,-0.6888527292649265
2010-07-08,-7.105427357601002e-15,0.2962436445879952,-0.14681053157476034,0.20392068280542916,,0.3830380224321944,-0.6766590855817151
2010-07-09,0.0185642380505584,0.2929062424101333,-0.1419098647065506,0.20156496510202315,,0.3847930622489511,-0.6686127916620523
2010-07-12,0.014158288945736786,0.3119063856679585,-0.16345471899625458,0.2040430688448874,,0.35322892223192176,-0.6801383602244309
2010-07-13,0.11463465204467838,0.2932606482595162,-0.1443451056400053,0.20358977637501743,,0.3873272357109067,-0.6760174469909173
2010-07-14,0.24894259963731002,0.27166093347092085,-0.12581277177984698,0.20478780862988158,,0.4298425808654127,-0.6814681244251066
2010-07-15,0.34691450060317663,0.24277884048672344,-0.10391941525276066,0.2024149884506719,,0.47704863496191,-0.6848874654674313
2010-07-16,0.23237841528450076,0.2436015175934857,-0.10450512558530578,0.20017899325802566,,0.46907421958992557,-0.6780844707605371
2010-07-19,0.1607257839637768,0.2117888235949272,-0.1135737808653943,0.1874836985417678,,0.46256484332684655,-0.6897124050576351
2010-07-20,0.16250496809750814,0.21819224566892273,-0.13499668591084532,0.18337288190940645,,0.42017901843370586,-0.6901723902553966
2010-07-21,-0.057209066507532214,0.256257007922576,-0.166760249653478,0.18503419124770945,,0.35016662162174506,-0.6836871209287011
2010-07-22,0.21191774246422312,0.24947389437715953,-0.1394943541344453,0.1891482820209853,,0.3960615921045182,-0.6750503003734089
2010-07-23,0.28285097969646955,0.2327980758241364,-0.12515395868688997,0.1873640376436239,,0.4240220310628281,-0.674329948436608
2010-07-26,0.23236982814037788,0.22776968022821223,-0.13058076019908466,0.17628996688198076,,0.3918089790630202,-0.6529704994611896
2010-07-27,0.2354917941568786,0.2058943213965051,-0.10743511131734171,0.17415576471686853,,0.4353534264854886,-0.650223649120172
