datetime,stock_id,side,reason,price,shares,fee,tax,cash_after,pnl,return_pct
2023-02-10 10:00:00,3043,buy,pullback_contract,31.0,347,4.2920430000000005,0.0,26.18177374984043,,
2023-02-10 10:00:00,3308,buy,pullback_contract,15.55,1,0.006204450000000001,0.0,10.62556929984043,,
2023-02-10 12:00:00,1409,sell,stop,17.95,5016,35.9248428,270.1116,89741.78912649983,-192.70175480000034,-0.002142943412534615
2023-02-10 12:00:00,1713,sell,stop,25.15,1976,19.828863600000002,149.08919999999998,139269.27106289982,-485.2651908000116,-0.009702830151797332
2023-02-10 12:00:00,2070,sell,stop,37.7,1315,19.780624500000005,148.72650000000002,188676.26393839982,-582.9451544999902,-0.01166124979291138
2023-02-10 13:00:00,3308,sell,stop,15.05,1,0.006004950000000002,0.04515,188691.2627834498,-0.5573593999999993,-0.03582875255924007
2023-02-13 09:00:00,3043,sell,stop,31.0,347,4.2920430000000005,32.271,199411.6997404498,-40.855085999999574,-0.003796485202404201
2023-02-13 10:00:00,1104,sell,stop,23.65,4179,39.43450665,296.50005,297909.1151837998,-1519.6254395000142,-0.01519366526030251
2023-02-13 10:00:00,1217,buy,confirm_breakout,11.2,4464,19.948723200000003,0.0,247892.36646059982,,
2023-02-13 10:00:00,2397,sell,stop,60.8,813,19.722729599999997,148.29119999999998,297154.75253099983,-757.0637301000024,-0.015135386996848469
2023-02-13 10:00:00,2433,sell,stop,49.25,1008,19.807956,148.93200000000002,346630.0125749998,-541.4886792000034,-0.010826147101177665
2023-02-13 11:00:00,1101,buy,pullback_contract,37.0,1351,19.944813000000003,0.0,296623.06776199985,,
2023-02-13 11:00:00,1225,buy,pullback_contract,57.4,871,19.948164600000005,0.0,246607.71959739985,,
2023-02-13 11:00:00,1231,buy,pullback_contract,84.2,593,19.922309400000003,0.0,196657.19728799985,,
2023-02-13 11:00:00,1301,buy,pullback_contract,89.2,560,19.930848,0.0,146685.26643999986,,
2023-02-13 11:00:00,1432,buy,pullback_contract,15.95,3134,19.9449327,0.0,96678.02150729987,,
2023-02-13 11:00:00,1434,buy,pullback_contract,27.45,1821,19.94459355,0.0,46671.626913749875,,
2023-02-13 11:00:00,1437,buy,pullback_contract,27.4,1702,18.6072852,0.0,18.219628549879417,,
2023-02-13 11:00:00,1570,buy,pullback_contract,18.0,1,0.007182000000000001,0.0,0.21244654987941658,,
2023-02-13 12:00:00,1225,sell,stop,57.1,871,19.843905900000003,149.2023,49565.26624064988,-450.2943704999998,-0.009003123781485748
2023-02-13 12:00:00,2546,sell,stop,55.3,1753,38.679419100000004,290.8227,146176.66412154987,2859.505795399993,0.030500779576716982
2023-02-13 13:00:00,1423,sell,stop,20.3,2444,19.795666800000003,148.83960000000002,195621.22885474988,-555.1772069999861,-0.011103601447863102
2023-02-14 09:00:00,3570,buy,pullback_contract,97.5,512,19.91808,0.0,145681.31077474987,,
2023-02-14 10:00:00,1101,buy,confirm_breakout,37.5,1333,19.945012500000004,0.0,95673.86576224987,,
2023-02-14 10:00:00,1301,buy,confirm_breakout,90.3,553,19.924424100000003,0.0,45718.04133814987,,
2023-02-14 10:00:00,1432,buy,confirm_breakout,17.4,2626,18.2312676,0.0,7.410070549878583,,
2023-02-15 10:00:00,1108,sell,stop,11.4,8971,40.805490600000006,306.80820000000006,101929.19637994989,1887.4385238500108,0.018867904531113984
2023-02-15 11:00:00,1434,sell,stop,27.3,1821,19.835606700000003,149.1399,151473.5208732499,-462.0701002499918,-0.009240220255942852
