,Profit,Profitfee,cumReturn,Drawdown
2022-08-26 20:00:00+08:00,-33.11917673688316,-33.11917673688316,527676.2058075583,0.0029784480255481026
2022-08-26 21:00:00+08:00,302.52867875314917,302.52867875314917,527978.7344863114,0.002406833066435698
2022-08-26 22:00:00+08:00,-62.19593947087712,-62.19593947087712,527916.5385468405,0.002524349625672781
2022-08-26 23:00:00+08:00,-724.6210485399525,-724.6210485399525,527191.9174983006,0.0038934900084630912
2022-08-27 00:00:00+08:00,258.664007056876,258.664007056876,527450.5815053574,0.003404755464594331
2022-08-27 01:00:00+08:00,518.7169525197683,518.7169525197683,527969.2984578771,0.0024246620373282847
2022-08-27 02:00:00+08:00,412.9123650143572,412.9123650143572,528382.2108228914,0.0016444818388181525
2022-08-27 03:00:00+08:00,14.311525957915983,14.311525957915983,528396.5223488493,0.0016174408245282952
2022-08-27 04:00:00+08:00,92.57482693956274,92.57482693956274,528489.097175789,0.001442524660764866
2022-08-27 05:00:00+08:00,284.5729723055287,284.5729723055287,528773.6701480945,0.0009048362386312926
2022-08-27 06:00:00+08:00,71.6565201563793,71.6565201563793,528845.326668251,0.0007694443180763222
2022-08-27 07:00:00+08:00,-293.96674265409627,-293.96674265409627,528551.3599255969,0.001324881866262364
2022-08-27 08:00:00+08:00,89.19648934024482,89.19648934024482,528640.5564149371,0.0011563489264520214
2022-08-27 09:00:00+08:00,-284.81246846562766,-284.81246846562766,528355.7439464715,0.0016944898663049325
2022-08-27 10:00:00+08:00,397.9645560304147,397.9645560304147,528753.708502502,0.0009425529115637508
2022-08-27 11:00:00+08:00,148.86702860098,148.86702860098,528902.575531103,0.0006612750478661679
2022-08-27 12:00:00+08:00,230.04419637920674,230.04419637920674,529132.6197274822,0.0002266164083966322
2022-08-27 13:00:00+08:00,20.60667204155186,20.60667204155186,529153.2263995238,0.00018768098566237073
2022-08-27 14:00:00+08:00,73.93647232722715,73.93647232722715,529227.162871851,4.798119329750394e-05
2022-08-27 15:00:00+08:00,-103.64852936959679,-103.64852936959679,529123.5143424814,0.000243820642707229
2022-08-27 16:00:00+08:00,6.598616477913609,6.598616477913609,529130.1129589593,0.00023135283997273112
2022-08-27 17:00:00+08:00,104.97750605837514,104.97750605837514,529235.0904650177,3.300234612664077e-05
2022-08-27 18:00:00+08:00,-35.44049777785197,-35.44049777785197,529199.6499672398,9.996564617384045e-05
2022-08-27 19:00:00+08:00,7.244874916488554,7.244874916488554,529206.8948421563,8.627676584606426e-05
2022-08-27 20:00:00+08:00,209.66591144129458,209.66591144129458,529416.5607535976,-0.0
2022-08-27 21:00:00+08:00,-150.79667685113154,-150.79667685113154,529265.7640767465,0.000284835587002528
2022-08-27 22:00:00+08:00,-176.3837517823966,-176.3837517823966,529089.3803249642,0.0006180018777042818
2022-08-27 23:00:00+08:00,86.38329211838163,86.38329211838163,529175.7636170826,0.0004548349151984728
2022-08-28 00:00:00+08:00,-34.181399785531845,-34.181399785531845,529141.582217297,0.0005193991965592765
2022-08-28 01:00:00+08:00,-178.6241420308824,-178.6241420308824,528962.9580752662,0.0008567972971713421
2022-08-28 02:00:00+08:00,269.9077988139026,269.9077988139026,529232.8658740801,0.00034697607354039115
2022-08-28 03:00:00+08:00,63.93595949625965,63.93595949625965,529296.8018335764,0.0002262092440983863
2022-08-28 04:00:00+08:00,114.27148318651788,114.27148318651788,529411.0733167629,1.0365064566381658e-05
2022-08-28 05:00:00+08:00,41.31121705174816,41.31121705174816,529452.3845338146,-0.0
2022-08-28 06:00:00+08:00,-28.77750764198266,-28.77750764198266,529423.6070261727,5.435334410151637e-05
2022-08-28 07:00:00+08:00,2.4521651243656777,2.4521651243656777,529426.059191297,4.972183200337943e-05
2022-08-28 08:00:00+08:00,-165.4001889828341,-165.4001889828341,529260.6590023142,0.0003621204419906999
2022-08-28 09:00:00+08:00,-303.4690571412723,-303.4690571412723,528957.189945173,0.0009352957944984181
2022-08-28 10:00:00+08:00,87.95281825992976,87.95281825992976,529045.1427634329,0.0007691754391478818
2022-08-28 11:00:00+08:00,-54.12697470248888,-54.12697470248888,528991.0157887305,0.000871407436365389
2022-08-28 12:00:00+08:00,-118.94395649005226,-118.94395649005226,528872.0718322404,0.00109606211724808
2022-08-28 13:00:00+08:00,-581.7569579782769,-581.7569579782769,528290.3148742622,0.0021948520650740453
2022-08-28 14:00:00+08:00,-33.157345256307536,-33.157345256307536,528257.1575290059,0.0022574778010701116
2022-08-28 15:00:00+08:00,-159.67180346676278,-159.67180346676278,528097.4857255392,0.0025590569574419062
2022-08-28 16:00:00+08:00,-157.72522361892766,-157.72522361892766,527939.7605019202,0.0028569595228591657
2022-08-28 17:00:00+08:00,92.88149673630619,92.88149673630619,528032.6419986566,0.002681530155744129
2022-08-28 18:00:00+08:00,-3073.4683337394713,-3084.586429714839,524948.0555689418,0.008507524182441734
2022-08-28 19:00:00+08:00,3094.8625246430656,3072.3239749394606,528020.3795438812,0.002704690793288886
2022-08-28 20:00:00+08:00,-470.19422229894064,-470.19422229894064,527550.1853215822,0.003592767296547861
2022-08-28 21:00:00+08:00,1681.0667980783633,1681.0667980783633,529231.2521196606,0.00041766251435191486
2022-08-28 22:00:00+08:00,-132.23408173035503,-132.23408173035503,529099.0180379302,0.0006674188391757151
2022-08-28 23:00:00+08:00,982.0089625765104,982.0089625765104,530081.0270005068,-0.0
2022-08-29 00:00:00+08:00,-486.6812367227454,-486.6812367227454,529594.345763784,0.0009181261202210019
2022-08-29 01:00:00+08:00,234.31104486984404,234.31104486984404,529828.6568086538,0.00047609738699942207
2022-08-29 02:00:00+08:00,-217.347656696294,-217.347656696294,529611.3091519575,0.0008861246198664618
2022-08-29 03:00:00+08:00,-484.7843273802574,-484.7843273802574,529126.5248245773,0.001800672212945622
2022-08-29 04:00:00+08:00,658.6288966391795,658.6288966391795,529785.1537212165,0.0005581661372875187
2022-08-29 05:00:00+08:00,-647.158164941372,-647.158164941372,529137.9955562751,0.0017790326312334297
2022-08-29 06:00:00+08:00,-270.3907784491113,-270.3907784491113,528867.604777826,0.002289125927685017
2022-08-29 07:00:00+08:00,1132.5564557725124,1132.5564557725124,530000.1612335985,0.0001525535961282343
2022-08-29 08:00:00+08:00,666.622338469003,666.622338469003,530666.7835720675,-0.0
2022-08-29 09:00:00+08:00,-2309.129677802372,-2309.129677802372,528357.6538942652,0.004351374062380393
2022-08-29 10:00:00+08:00,670.6837709324777,670.6837709324777,529028.3376651977,0.003087523013671581
2022-08-29 11:00:00+08:00,239.79459131933058,239.79459131933058,529268.132256517,0.002635648883346037
2022-08-29 12:00:00+08:00,80.68678298223023,80.68678298223023,529348.8190394992,0.0024836009589610302
2022-08-29 13:00:00+08:00,704.8163236482643,704.8163236482643,530053.6353631474,0.0011554297873947795
2022-08-29 14:00:00+08:00,872.2130445893406,872.2130445893406,530925.8484077367,-0.0
2022-08-29 15:00:00+08:00,-1087.9628357344516,-1087.9628357344516,529837.8855720023,0.0020491803874256864
2022-08-29 16:00:00+08:00,-173.02782421178284,-173.02782421178284,529664.8577477905,0.0023750786738449014
2022-08-29 17:00:00+08:00,1259.7469724156172,1259.7469724156172,530924.6047202061,2.3424881918258945e-06
2022-08-29 18:00:00+08:00,446.23476708429354,446.23476708429354,531370.8394872904,-0.0
2022-08-29 19:00:00+08:00,136.05061667188895,136.05061667188895,531506.8901039623,-0.0
2022-08-29 20:00:00+08:00,289.5239147859288,289.5239147859288,531796.4140187482,-0.0
2022-08-29 21:00:00+08:00,236.9749423635032,236.9749423635032,532033.3889611117,-0.0
2022-08-29 22:00:00+08:00,263.81299416575155,263.81299416575155,532297.2019552774,-0.0
2022-08-29 23:00:00+08:00,-962.6909890304318,-962.6909890304318,531334.510966247,0.001808559176141024
2022-08-30 00:00:00+08:00,-37.96910317815435,-37.96910317815435,531296.5418630688,0.001879889821950648
2022-08-30 01:00:00+08:00,3.5150993948663967,3.5150993948663967,531300.0569624637,0.0018732861813868394
2022-08-30 02:00:00+08:00,-376.85766601204,-376.85766601204,530923.1992964516,0.002581269737617667
2022-08-30 03:00:00+08:00,453.5106825697342,453.5106825697342,531376.7099790213,0.001729282011768596
2022-08-30 04:00:00+08:00,29.7965746925183,29.7965746925183,531406.5065537138,0.001673304684472823
2022-08-30 05:00:00+08:00,-192.85740961428485,-192.85740961428485,531213.6491440996,0.0020356162068814235
