,TodayBalance,YesBalance,buy,date,name,Return,sell
333,6314991,6323314,286737,2020-06-22,MarginPurchase,4386,290674
334,818614,826817,29430,2020-06-22,ShortSale,3915,25142
335,122805591000,122117617000,8418802000,2020-06-22,MarginPurchaseMoney,96248000,7634580000
336,799000,818614,39999,2020-06-23,ShortSale,5349,25734
337,6345329,6314990,303188,2020-06-23,MarginPurchase,5640,267209
338,123194289000,122805591000,8403498000,2020-06-23,MarginPurchaseMoney,192437000,7822363000
339,785623,799000,34054,2020-06-24,ShortSale,2514,23191
340,123729395000,123194289000,8719722000,2020-06-24,MarginPurchaseMoney,157453000,8027163000
341,6346141,6345328,268750,2020-06-24,MarginPurchase,6886,261051
342,6331602,6346141,281861,2020-06-29,MarginPurchase,3081,293319
343,781536,785623,33393,2020-06-29,ShortSale,7624,36930
344,124989116000,123729272000,8873208000,2020-06-29,MarginPurchaseMoney,76019000,7537345000
345,6371287,6331602,309141,2020-06-30,MarginPurchase,3226,266230
346,773350,781536,34646,2020-06-30,ShortSale,3926,30386
347,125774758000,124989092000,8952852000,2020-06-30,MarginPurchaseMoney,95860000,8071326000
348,6383582,6371287,333157,2020-07-01,MarginPurchase,8858,312004
349,776151,773330,26051,2020-07-01,ShortSale,2845,31717
350,125684607000,125774758000,9951683000,2020-07-01,MarginPurchaseMoney,122427000,9919407000
351,789964,776151,33655,2020-07-02,ShortSale,3251,50719
352,6450052,6383582,374281,2020-07-02,MarginPurchase,2664,305147
353,126921751000,125684607000,9642461000,2020-07-02,MarginPurchaseMoney,59473000,8345844000
354,810643,789964,38644,2020-07-03,ShortSale,3435,62758
355,6484863,6450050,421147,2020-07-03,MarginPurchase,4441,381893
356,127145160000,126921751000,11085893000,2020-07-03,MarginPurchaseMoney,99239000,10763245000
357,804530,810643,38970,2020-07-06,ShortSale,5580,38437
358,128455971000,127145160000,12880084000,2020-07-06,MarginPurchaseMoney,85678000,11483595000
359,6491838,6484862,486179,2020-07-06,MarginPurchase,4486,474717
360,128914666000,128455971000,14010086000,2020-07-07,MarginPurchaseMoney,253650000,13297741000
361,781698,804474,40136,2020-07-07,ShortSale,9084,26444
362,6528897,6491838,493025,2020-07-07,MarginPurchase,16065,439901
363,6601174,6528897,405648,2020-07-08,MarginPurchase,13555,319816
364,747814,781696,29401,2020-07-08,ShortSale,27747,23266
365,132556243000,128914662000,13318982000,2020-07-08,MarginPurchaseMoney,141227000,9536174000
366,725122,747814,33249,2020-07-09,ShortSale,13534,24091
367,134325213000,132556243000,14001225000,2020-07-09,MarginPurchaseMoney,149178000,12083077000
368,6629180,6601172,436067,2020-07-09,MarginPurchase,13736,394323
