買進,日期,種類,賣出
18394556820,2020-04-13,Foreign_Investor,25983314944
2461657450,2020-04-13,Investment_Trust,1224505331
3077063728,2020-04-13,Dealer_Hedging,5160897440
1960984050,2020-04-14,Dealer_self,850285810
60978793173,2020-04-14,total,42423431388
1857660,2020-04-14,Foreign_Dealer_Self,1903070
3129833830,2020-04-14,Investment_Trust,1219762926
50615655320,2020-04-14,Foreign_Investor,35493636166
5272319973,2020-04-14,Dealer_Hedging,4859746486
5018372950,2020-04-15,Dealer_Hedging,5559627714
4088031460,2020-04-15,Investment_Trust,1452516593
46824040559,2020-04-15,Foreign_Investor,50508316904
57865565019,2020-04-15,total,60772885661
1935120050,2020-04-15,Dealer_self,3252424450
2181160,2020-04-15,Foreign_Dealer_Self,3160920
39078473571,2020-04-16,Foreign_Investor,51534047883
1843830,2020-04-16,Foreign_Dealer_Self,1297810
46429287680,2020-04-16,total,59139519513
994007260,2020-04-16,Dealer_self,1275806789
3520183929,2020-04-16,Dealer_Hedging,4431953615
2836622920,2020-04-16,Investment_Trust,1897711226
6759173430,2020-04-17,Dealer_Hedging,5870908719
72851113647,2020-04-17,Foreign_Investor,52456735235
4078728040,2020-04-17,Investment_Trust,1593064510
85465164927,2020-04-17,total,61882859506
3300660,2020-04-17,Foreign_Dealer_Self,2034560
1776149810,2020-04-17,Dealer_self,1962151042
36874573590,2020-04-20,Foreign_Investor,36360219199
3563179822,2020-04-20,Dealer_Hedging,4028236304
43078550102,2020-04-20,total,43285261253
1523040,2020-04-20,Foreign_Dealer_Self,1593460
649137690,2020-04-20,Dealer_self,850629987
1991659000,2020-04-20,Investment_Trust,2046175763
34629416126,2020-04-21,Foreign_Investor,58875779002
4639940435,2020-04-21,Dealer_Hedging,6976324928
2241540,2020-04-21,Foreign_Dealer_Self,1732340
41632378331,2020-04-21,total,70839646982
1409355030,2020-04-21,Investment_Trust,2306396780
953666740,2020-04-21,Dealer_self,2681146272
1830227062,2020-04-22,Investment_Trust,1885385740
1248860,2020-04-22,Foreign_Dealer_Self,1900650
956632100,2020-04-22,Dealer_self,1513604663
4169391238,2020-04-22,Dealer_Hedging,4451889351
41714076396,2020-04-22,total,46058447540
